identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:1713:LOC;JEAN ROSTAND;L7;CTRE COMMERCIAL;2021-03-05T23:46:10+01:00;2021-03-05T23:20:54+01:00;TRANSPOLE:ItemId::471842:LOC;CTRE COMMERCIAL/JEAN ROSTAND/2021-03-05T23:46:10.000+01:00
TRANSPOLE:StopPointRef:BP:1713:LOC;JEAN ROSTAND;L7;CTRE COMMERCIAL;2021-03-06T00:14:17+01:00;2021-03-06T00:12:29+01:00;TRANSPOLE:ItemId::472930:LOC;CTRE COMMERCIAL/JEAN ROSTAND/2021-03-06T00:14:17.000+01:00
TRANSPOLE:StopPointRef:BP:5677:LOC;LA JAPPE;L7;CTRE COMMERCIAL;2021-03-05T23:39:22+01:00;2021-03-05T23:30:29+01:00;TRANSPOLE:ItemId::471835:LOC;CTRE COMMERCIAL/LA JAPPE/2021-03-05T23:39:22.000+01:00
TRANSPOLE:StopPointRef:BP:5677:LOC;LA JAPPE;L7;CTRE COMMERCIAL;2021-03-06T00:08:16+01:00;2021-03-05T23:38:55+01:00;TRANSPOLE:ItemId::472923:LOC;CTRE COMMERCIAL/LA JAPPE/2021-03-06T00:08:16.000+01:00
TRANSPOLE:StopPointRef:BP:5677:LOC;LA JAPPE;L7;CTRE COMMERCIAL;2021-03-06T00:38:30+01:00;2021-03-06T00:09:29+01:00;TRANSPOLE:ItemId::471871:LOC;CTRE COMMERCIAL/LA JAPPE/2021-03-06T00:38:30.000+01:00
TRANSPOLE:StopPointRef:BP:3552:LOC;LE CERF;L1;CTRE COMMERCIAL;2021-03-05T23:23:20+01:00;2021-03-05T23:20:29+01:00;TRANSPOLE:ItemId::435624:LOC;CTRE COMMERCIAL/LE CERF/2021-03-05T23:23:20.000+01:00
TRANSPOLE:StopPointRef:BP:3552:LOC;LE CERF;L1;CTRE COMMERCIAL;2021-03-05T23:47:37+01:00;2021-03-05T23:38:55+01:00;TRANSPOLE:ItemId::440627:LOC;CTRE COMMERCIAL/LE CERF/2021-03-05T23:47:37.000+01:00
TRANSPOLE:StopPointRef:BP:3552:LOC;LE CERF;L1;CTRE COMMERCIAL;2021-03-06T00:18:31+01:00;2021-03-06T00:06:14+01:00;TRANSPOLE:ItemId::441327:LOC;CTRE COMMERCIAL/LE CERF/2021-03-06T00:18:31.000+01:00
TRANSPOLE:StopPointRef:BP:5985:LOC;LECLERC;L1;CTRE COMMERCIAL;2021-03-06T00:11:48+01:00;2021-03-05T23:08:13+01:00;TRANSPOLE:ItemId::439411:LOC;CTRE COMMERCIAL/LECLERC/2021-03-06T00:11:48.000+01:00
TRANSPOLE:StopPointRef:BP:5089:LOC;LES PLATANES;L1;CTRE COMMERCIAL;2021-03-05T23:40:33+01:00;2021-03-05T22:26:44+01:00;TRANSPOLE:ItemId::441298:LOC;CTRE COMMERCIAL/LES PLATANES/2021-03-05T23:40:33.000+01:00
